sumo_type,sumo_id,matsim_type,matsim_id,mapping_method
junction,100027768,node,100027768,Exact ID
junction,100069498,node,100069498,Exact ID
junction,100078730,node,100078730,Exact ID
junction,100084379,node,100084379,Exact ID
junction,100084467,node,100084467,Exact ID
junction,100150938,node,100150938,Exact ID
junction,100157291,node,100157291,Exact ID
junction,100159422,node,100159422,Exact ID
junction,100159780,node,100159780,Exact ID
junction,100161132,node,100161132,Exact ID
junction,100161904,node,100161904,Exact ID
junction,100161906,node,100161906,Exact ID
junction,100161912,node,100161912,Exact ID
junction,100161917,node,100161917,Exact ID
junction,100162430,node,100162430,Exact ID
junction,100162434,node,100162434,Exact ID
junction,100163048,node,100163048,Exact ID
junction,100163054,node,100163054,Exact ID
junction,100163057,node,100163057,Exact ID
junction,100163059,node,100163059,Exact ID
junction,100163063,node,100163063,Exact ID
junction,100163669,node,100163669,Exact ID
junction,100163695,node,100163695,Exact ID
junction,100163967,node,100163967,Exact ID
junction,100164113,node,100164113,Exact ID
junction,100164831,node,100164831,Exact ID
junction,100167375,node,100167375,Exact ID
junction,100167392,node,100167392,Exact ID
junction,100169514,node,100169514,Exact ID
junction,10035442694,node,212905599,Spatial Nearest
junction,10045880397,node,27088389,Spatial Nearest
junction,100532382,node,100532382,Exact ID
junction,1006022705,node,1006022705,Exact ID
junction,10067305126,node,251496536,Spatial Nearest
junction,100731163,node,100731163,Exact ID
junction,100731165,node,100731165,Exact ID
junction,100731166,node,100731166,Exact ID
junction,100745597,node,100745597,Exact ID
junction,100753278,node,100753278,Exact ID
junction,10077613033,node,30433657,Spatial Nearest
junction,10077627603,node,30433657,Spatial Nearest
junction,10077627820,node,30433657,Spatial Nearest
junction,1008793415,node,1008793415,Exact ID
junction,1008793507,node,1008793507,Exact ID
junction,1008798798,node,1008798798,Exact ID
junction,1010964407,node,1010964407,Exact ID
junction,101162641,node,101162641,Exact ID
junction,101163002,node,101163002,Exact ID
junction,101163003,node,101163003,Exact ID
junction,101171533,node,101171533,Exact ID
junction,101173198,node,101173198,Exact ID
junction,101213423,node,101213423,Exact ID
junction,101227328,node,101227328,Exact ID
junction,1012520257,node,1012520257,Exact ID
junction,101340856,node,101340856,Exact ID
junction,101340857,node,101340858,Spatial Nearest
junction,101373518,node,101373518,Exact ID
junction,101373519,node,101373519,Exact ID
junction,101373680,node,101373680,Exact ID
junction,101373681,node,101373681,Exact ID
junction,101373692,node,101373692,Exact ID
junction,101374125,node,101374125,Exact ID
junction,101374476,node,101374476,Exact ID
junction,101374481,node,101374481,Exact ID
junction,101374976,node,101374976,Exact ID
junction,101374984,node,101374984,Exact ID
junction,101375410,node,101375410,Exact ID
junction,101375413,node,101375413,Exact ID
junction,101389636,node,101389636,Exact ID
junction,101390319,node,101390319,Exact ID
junction,10142252335,node,259059635,Spatial Nearest
junction,10144636922,node,270057424,Spatial Nearest
junction,10144636931,node,35249557,Spatial Nearest
junction,101468606,node,101468606,Exact ID
junction,101468776,node,101468776,Exact ID
junction,101469352,node,101469352,Exact ID
junction,101469748,node,101469748,Exact ID
junction,101470637,node,101470637,Exact ID
junction,101470896,node,101470896,Exact ID
junction,101471629,node,101471629,Exact ID
junction,101471630,node,101471630,Exact ID
junction,101473100,node,101473100,Exact ID
junction,101473336,node,101473336,Exact ID
junction,101473404,node,101473404,Exact ID
junction,101473666,node,101473666,Exact ID
junction,101473667,node,101473667,Exact ID
junction,101479834,node,101479834,Exact ID
junction,101487541,node,1843790287,Spatial Nearest
junction,101488035,node,101488035,Exact ID
junction,101488549,node,101488549,Exact ID
junction,10154389786,node,30838290,Spatial Nearest
junction,1016697526,node,1016697526,Exact ID
junction,1016894246,node,1016894246,Exact ID
junction,101971584,node,101971584,Exact ID
junction,101971587,node,101971587,Exact ID
junction,101971598,node,101971598,Exact ID
junction,101971604,node,101971604,Exact ID
junction,101972468,node,101972468,Exact ID
junction,101972495,node,101972495,Exact ID
junction,1020050229,node,1020050229,Exact ID
junction,1020330210,node,1020330210,Exact ID
junction,1020330221,node,1020330221,Exact ID
junction,10203924768,node,31492819,Spatial Nearest
junction,10209707556,node,26733323,Spatial Nearest
junction,1021174774,node,1021174774,Exact ID
junction,1022566993,node,1022566993,Exact ID
junction,102265481,node,102265481,Exact ID
junction,102265951,node,102265951,Exact ID
junction,1022694900,node,1022694900,Exact ID
junction,1022827659,node,1022827659,Exact ID
junction,1022827745,node,1022827807,Spatial Nearest
junction,1022827802,node,1022827802,Exact ID
junction,1023990198,node,1023990198,Exact ID
junction,10244464034,node,1652675093,Spatial Nearest
junction,1024993400,node,1024993400,Exact ID
junction,10260029766,node,30738544,Spatial Nearest
junction,1027063820,node,1027063820,Exact ID
junction,1027101971,node,1027101971,Exact ID
junction,1027117007,node,1027117007,Exact ID
junction,1028288041,node,1028288041,Exact ID
junction,1028288068,node,1028288068,Exact ID
junction,102918588,node,102918588,Exact ID
junction,102924070,node,102924070,Exact ID
junction,102924071,node,102924071,Exact ID
junction,102924080,node,102924080,Exact ID
junction,102924084,node,102924084,Exact ID
junction,102924090,node,102924090,Exact ID
junction,1030611189,node,1030611189,Exact ID
junction,103553858,node,103553858,Exact ID
junction,103561136,node,103561136,Exact ID
