from_node,to_node,travel_time
484121,26784546,41
16541457,256724098,1
16541457,16541467,71
16541461,27587405,47
16541464,26943821,0
16541464,27560124,51
16541465,29272980,85
16541465,26943818,1
16541465,5257308490,16
16541467,527332338,1
16541467,16541468,3
16541468,26904543,1
16541469,1092585666,37
16541469,26904542,4
16541471,26745972,1
16541471,26745971,2
16541474,16541469,5
16541478,282763131,0
16541478,26904555,36
16541483,29030467,17
16541483,267046792,19
16541486,156869073,0
16541486,29030467,8
16541488,401899514,37
16541488,26745957,11
16541488,268107482,34
20246276,26736159,0
20246276,26704061,177
21487101,26784929,1
21487101,26784970,54
21487105,26785792,20
21487105,3336866734,4
21487141,26745961,1
21487141,26785772,22
21487142,26662395,94
21487142,26785753,3
21487143,21487142,1
21487144,251106770,1
21487145,21487148,1
21487146,21487168,1
21487148,21487144,3
21487148,802800009,12
21487168,21487145,4
21487246,26788842,15
21487246,26731247,6
21487260,26739109,0
21487260,1083647948,6
26624521,26736227,1
26624521,26627429,43
26624530,26740525,6
26624530,26642117,3
26624540,26682630,1
26624540,26731191,32
26624548,26734555,6
26624548,26806097,168
26624548,602232365,55
26624556,26682583,0
26624556,26624521,21
26627364,26751256,1
26627365,26627364,1
26627372,26627429,1
26627372,26736227,42
26627429,26729471,1
26629160,26739110,1
26642106,26763086,1
26642106,26731297,5
26642107,26731192,0
26642107,26642118,7
26642108,26642107,1
26642108,1083648409,161
26642117,26729524,1
26642117,26740525,3
26646224,602232364,0
26646224,602232365,2
26646260,26729472,0
26646260,26627372,39
26662395,26736197,0
26662395,26784928,110
26662404,21487101,0
26662404,26750505,16
26662457,26750541,17
26662457,26750538,3
26662466,26662457,1
26682534,30427951,18
26682534,30736688,74
26682574,26763861,2
26682574,26787934,15
26682582,26682656,0
26682582,26731233,40
26682583,26682657,0
26682583,26682654,9
26682630,26682651,1
26682630,26740515,3
26682636,26708501,1
26682636,270182847,27
26682640,2306718621,2
26682640,26682643,22
26682643,26682636,1
26682643,26734558,113
26682651,26734489,1
26682651,26708489,88
26682654,26682582,1
26682654,26751262,25
26682655,26682654,0
26682655,26682657,9
26682656,26682655,0
26682657,27603959,1
26682657,538599447,33
26704061,26763054,18
26704061,26762967,0
26704067,26763048,0
26704067,21487146,86
26704508,26763011,0
26704508,26704515,17
26704511,26704513,1
26704511,26763057,82
26704513,26704511,1
26704513,26763003,9
26704514,26763003,1
26704514,26704511,9
26704515,26763077,1
26704515,26704514,4
26704550,26731297,1
26704550,26763077,6
26704550,26763086,5
26704560,26763044,0
26704560,26787963,3
26704776,26761232,0
26708454,26708455,1
26708454,21487141,35
26708454,26785772,67
26708455,26708454,1
26708455,4782393069,1
26708459,21487141,1
26708459,26708455,35
26708460,26662395,2
26708460,26785753,94
26708489,26731248,2
26708489,601409794,31
26708501,312215682,1
26708501,26704550,23
26708504,26627365,27
26729471,26729487,1
26729471,1189251454,27
26729487,26627372,1
26729487,26729472,45
26729491,26751262,1
26729491,26682582,27
26729524,26740508,1
26729524,26624540,30
26731191,26642108,0
26731191,26729524,39
26731192,26731191,1
26731192,26682630,32
26731232,26682574,0
26731233,26731232,1
26731233,272427530,1
26731237,272427526,23
26731237,26787934,41
26731246,26708489,2
26731246,26734489,89
26731247,9072528195,3
26731247,26731246,2
26731248,21487246,6
26731248,26731247,2
26731297,26704550,1
26731297,312215682,23
26734489,26624540,1
26734489,26740508,31
26734491,26740507,3
26734491,5496911310,45
26734554,26682636,113
26734554,26734558,2
26734555,26734554,0
26734558,26734559,2
26734558,26839931,67
26734559,26624548,6
26734559,26734555,2
26736127,26736160,0
26736127,26868066,132
26736159,26736127,1
26736159,26708460,58
26736160,20246276,1
26736160,26682640,35
26736196,26708460,0
26736196,26736127,58
26736197,26736196,2
26736197,4782393070,58
26736225,26729491,5
26736225,11165604712,36
26736227,26729491,0
26736227,26736225,5
